SN,GANTRY_HEIGHT,ADDRESS,CAR_PARK_NO,X_COORD,Y_COORD,CAR_PARK_TYPE
157,2.15,BLK 13A GHIM MOH ROAD,GM6A,23036.915,32422.5932,MULTI-STOREY CAR PARK
158,2.15,BLK 613 TAMPINES NORTH DRIVE 1,NT4,39453.5479,38608.266,MULTI-STOREY CAR PARK
159,0,BLK 684A & 684B EDGEDALE PLAINS,P71L,37190.4782,42765.7878,SURFACE CAR PARK
160,2.15,663  PUNGGOL DRIVE,PL58,37289.3261,42421.1514,MULTI-STOREY CAR PARK
161,4.5,BLK 334/341 JURONG EAST AVENUE 1,J23,16726.1406,36905.0234,SURFACE CAR PARK
162,2.15,BLK 335A SEMBAWANG CLOSE,SB9,26015.7785,47701.567,MULTI-STOREY CAR PARK
163,9.99,BLK 959-961 JURONG WEST STREET 92,J66,12175.81,35939.8984,SURFACE CAR PARK
164,0,"BLK 464A-B, 465B, 466A-B FERNVALE ROAD",S16L,32841.3354,42213.5234,SURFACE CAR PARK
165,2.15,BLK 161 JALAN TECK WHYE,TWM6,19638.7886,40229.3595,MULTI-STOREY CAR PARK
166,2,BLK 227A CHOA CHU KANG CENTRAL,CK10,18219.6466,40274.898,MULTI-STOREY CAR PARK
167,2,BLK 129A CLARENCE LANE,CLM,25894.5957,30541.7316,MULTI-STOREY CAR PARK
168,2,BLK 251A CHOA CHU KANG AVENUE 2,CK31,18164.3898,40080.8939,MULTI-STOREY CAR PARK
169,0,BLK 45 & 79 ALONG TELOK BLANGAH DRIVE,TB29,25069.197,28402.4038,SURFACE CAR PARK
170,0,BLK 137/139 TAMPINES STREET 11,T8,40338.7812,36505.4414,SURFACE CAR PARK
171,2.15,BLK 93A LORONG 4 TOA PAYOH,TPME,29839.4181,35624.0957,MULTI-STOREY CAR PARK
172,2.15,BLK 277 COMPASSVALE LINK,SK71,34774.0235,40448.7069,BASEMENT CAR PARK
173,2.9,BLK 464-468 HOUGANG AVENUE 10,HG30,35083.1678,39473.6275,SURFACE CAR PARK
174,4.5,BLK 129/134 ANG MO KIO STREET 12,A30,29012.7631,39222.5981,SURFACE CAR PARK
175,1.9,BLK 237A BISHAN STREET 22,BE32,29486.1335,37915.7452,MULTI-STOREY CAR PARK
